City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chui,-33.6971,-53.4616,22.4,54,5,4.34,UY,1705923054
1,waitangi,-43.9535,-176.5597,17.68,96,100,6.26,NZ,1705923054
2,bilibino,68.0546,166.4372,-20.53,69,100,5.68,RU,1705923054
3,georgetown,5.4112,100.3354,27.96,77,20,4.12,MY,1705923055
4,avarua,-21.2078,-159.775,25.03,83,75,2.57,CK,1705923055
5,santiago de cao,-7.9589,-79.2392,22.07,88,75,3.09,PE,1705923056
6,margaret river,-33.95,115.0667,19.52,66,0,5.36,AU,1705922871
7,kyzylorda,44.8528,65.5092,0.01,34,0,6.0,KZ,1705923056
8,ilulissat,69.2167,-51.1,-10.99,67,75,7.72,GL,1705923056
9,port-aux-francais,-49.35,70.2167,6.34,81,76,11.81,TF,1705922998
10,kingston,17.997,-76.7936,26.23,79,20,1.54,JM,1705923058
11,olonkinbyen,70.9221,-8.7187,-5.95,81,100,7.79,SJ,1705923058
12,bairnsdale,-37.8333,147.6167,16.14,91,93,0.45,AU,1705923059
13,port pirie,-33.1833,138.0167,28.11,31,1,2.83,AU,1705923059
14,knyaze-volkonskoye,48.4642,135.4567,-20.0,90,100,4.92,RU,1705923059
15,west island,-12.1568,96.8225,28.99,79,40,2.57,CC,1705923059
16,flying fish cove,-10.4217,105.6791,27.82,78,75,3.09,CX,1705923060
17,college,64.8569,-147.8028,-36.01,51,0,1.54,US,1705923060
18,warrnambool,-38.3833,142.4833,14.01,74,26,6.52,AU,1705922843
19,filey,54.21,-0.2892,8.91,82,72,4.02,GB,1705923061
20,la passe,45.5549,-0.8967,11.13,93,100,8.29,FR,1705923061
21,enewetak,11.3474,162.3373,26.03,77,82,9.05,MH,1705923061
22,mersa matruh,31.3525,27.2453,19.11,55,40,7.2,EG,1705923062
23,adamstown,-25.066,-130.1015,24.35,82,100,3.88,PN,1705923063
24,klyuchi,52.2667,79.1667,-17.43,95,4,2.27,RU,1705923064
25,happy valley-goose bay,53.3168,-60.3315,-18.83,65,20,3.09,CA,1705923065
26,blackmans bay,-43.0167,147.3167,12.07,67,45,0.74,AU,1705923065
27,port elizabeth,-33.918,25.5701,22.4,80,100,5.14,ZA,1705923004
28,mejit,10.2753,170.8646,26.72,79,100,9.35,MH,1705923066
29,edinburgh of the seven seas,-37.0676,-12.3116,19.27,87,58,9.96,SH,1705923066
30,choibalsan,48.0667,114.5,-21.45,84,52,4.38,MN,1705923066
31,pokachi,61.7198,75.3683,-6.71,84,100,8.74,RU,1705923067
32,tiksi,71.6872,128.8694,-27.57,92,100,11.14,RU,1705923067
33,wafangdian,39.6183,122.0081,-14.64,61,0,4.78,CN,1705923068
34,balkanabat,39.5108,54.3671,10.67,66,46,5.8,TM,1705923069
35,thompson,55.7435,-97.8558,-24.91,77,0,3.6,CA,1705923069
36,luderitz,-26.6481,15.1594,25.41,55,0,12.03,NA,1705923051
37,san julian,21.0167,-102.1667,10.59,75,75,1.53,MX,1705923069
38,salinas,36.6777,-121.6555,14.91,94,100,3.09,US,1705923070
39,puerto ayora,-0.7393,-90.3518,25.31,99,47,1.34,EC,1705923071
40,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,77,75,5.0,RU,1705923071
41,bol'sherech'ye,56.0925,74.6272,-11.91,82,100,5.27,RU,1705923072
42,mangrol,21.1167,70.1167,25.35,47,44,7.11,IN,1705923072
43,grytviken,-54.2811,-36.5092,2.93,98,100,2.45,GS,1705923072
44,hasaki,35.7333,140.8333,12.38,69,100,6.86,JP,1705922971
45,kamwenge,0.1866,30.4539,33.31,19,81,1.3,UG,1705923073
46,praia da vitoria,38.7333,-27.0667,18.14,88,40,11.05,PT,1705923073
47,jayapura,-2.5333,140.7,27.66,90,100,4.15,ID,1705922896
48,iskateley,67.6803,53.1512,-24.43,98,21,2.68,RU,1705923074
49,kudahuvadhoo,2.6708,72.8944,28.19,78,58,6.72,MV,1705923074
50,irtyshsk,53.3333,75.4572,-15.71,84,88,3.85,KZ,1705923075
51,papatowai,-46.5619,169.4708,13.71,98,98,1.82,NZ,1705923076
52,masuguru,-11.3667,38.4167,26.33,81,99,2.31,TZ,1705923076
53,ryotsu-minato,38.0833,138.4333,8.39,84,100,6.06,JP,1705923046
54,julio de castilhos,-29.2269,-53.6817,18.49,76,96,7.35,BR,1705923077
55,airdrie,55.866,-3.9803,5.5,89,47,12.14,GB,1705923009
56,ushuaia,-54.8,-68.3,11.81,76,20,14.92,AR,1705923077
57,duba,27.3513,35.6901,24.78,51,4,5.3,SA,1705923077
58,stanley,54.868,-1.6985,7.1,75,11,11.68,GB,1705923078
59,panchagarh,26.3313,88.562,19.18,39,15,2.35,BD,1705923078
60,feijo,-8.1642,-70.3536,24.13,90,99,0.24,BR,1705923078
61,mineiros,-17.5694,-52.5511,23.81,82,65,1.81,BR,1705923078
62,"poblacion, san felipe",14.5665,121.0308,27.98,75,75,2.06,PH,1705923079
63,sao joao da barra,-21.6403,-41.0511,27.05,78,4,7.6,BR,1705923080
64,lebu,-37.6167,-73.65,15.19,74,2,5.46,CL,1705923080
65,karratha,-20.7377,116.8463,27.07,77,7,3.02,AU,1705923074
66,hadibu,12.65,54.0333,25.23,65,57,7.61,YE,1705923081
67,gao,16.6362,1.637,30.38,4,23,5.28,ML,1705922802
68,finike,36.295,30.1406,16.74,62,100,1.69,TR,1705923082
